model,status,train_MSE_mean,cv_MSE_mean,cv_MSE_std,cv_RMSE_mean,cv_MAE_mean,cv_R2_mean,selection_metric
CatBoost_target_encoding_log_optuna_v1,ok,26700799.814557046,27398810.37284722,281471.37369765283,5234.331935195031,4169.590804428294,0.980349020724326,cv_MSE_mean
CatBoost_target_encoding_log_v1,ok,26740856.276797436,27519505.839975614,297119.11418114277,5245.8423668679825,4178.438009772447,0.9802625397738499,cv_MSE_mean
CatBoostRegressor_target_encoding_v1,ok,26761145.286220096,27556334.61724525,294543.0518856334,5249.352565763418,4182.793931798573,0.9802361635196872,cv_MSE_mean
CatBoost_native_categoricals_v1,ok,28302644.29366208,28745934.828328304,477997.8047691583,5361.376689936528,4271.4748786522705,0.9793822111848443,cv_MSE_mean
Lasso_alpha_1.0,ok,55452766.165254846,55545349.11960626,586750.7926695063,7452.791700179885,5732.859700586891,0.9601623207946803,cv_MSE_mean
LinearRegression_baseline,ok,55452335.97524186,55547082.88840928,591543.2264222336,7452.906644512744,5733.076837696065,0.9601611051578096,cv_MSE_mean
CatBoost_target_encoding_null_features_v1,ok,61923927.39581432,62812915.07384954,671676.6864874341,7925.369654141873,6349.423450213221,0.9549457729422922,cv_MSE_mean
CatBoost_target_encoding_log_null_v1,ok,61996466.343725815,62842477.382845476,693072.2227094049,7927.228686673343,6348.2892023645345,0.954924416795101,cv_MSE_mean
