model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,cv_accuracy_mean,cv_f1_macro_mean,notes
CatBoost_V1_FE_dropagg_seed3,0.7620625,0.6929329751751002,0.6720867183247782,0.6816938224151528,0.7579811527778845,0.7620625,0.7594687810631328,0.759,0.6722280075053343,"{'drop_agg': True, 'drop_cert': False}"
CatBoost_V1_FE_dropcert_seed3,0.7619375,0.6928409644943292,0.6726638773408119,0.6819633683060259,0.7583237781617596,0.7619375,0.7596101607284975,,,"{'drop_agg': False, 'drop_cert': True}"
CatBoost_V1_FE_keepraw_seed3,0.761625,0.6927147181005464,0.6715218160786595,0.6812819516863752,0.7572874602795875,0.761625,0.7588818316345579,0.759046875,0.6729951696480123,"{'drop_agg': False, 'drop_cert': False}"
