fold,model,accuracy,f1_macro,prediction_NoVacation_percent
1,HistGradientBoosting,0.7600404994937563,0.6725537895192146,57.01428732140849
2,HistGradientBoosting,0.7562155473056587,0.6654419696775988,57.28053399332508
3,HistGradientBoosting,0.7614565364134104,0.6727268014494268,57.106427660691516
